Date,O919001001,O200001001,V504661001,O180405201,O153291001,O353401001,O375401001,O323000401,O546431001,O819000201,O582000101,Q066402002,O612501001,O605401001,O633251001,O650251001,K216311001,O701581001,P171291001,O839431001,P257401001,Q224291001,65017400,48198001,65258001_x,65258001_y,31451001,65258001,11221004,65125001,12216001
2023-01-01,186044.0,48967.0,1210.0,0.0,1754.0,2563.0,304.0,6.0,278.0,110.0,137.0,509.0,219.0,1898.0,2052.0,1246.0,779.0,333.0,5866.0,545.0,373.0,619.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,152756.0,48905.0,1187.0,0.0,1692.0,2599.0,296.0,6.0,267.0,105.0,135.0,480.0,215.0,1892.0,2122.0,1221.0,772.0,340.0,4721.0,537.0,361.0,556.0,9.3,22.3,3.4,3.4,0.2,3.4,0.8,2.4,4.4
2023-01-03,147301.0,50457.0,1569.0,0.0,1710.0,2692.0,309.0,5.0,273.0,91.0,133.0,425.0,212.0,1877.0,1958.0,1151.0,1278.0,696.0,3887.0,524.0,349.0,487.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.4,0.0
2023-01-04,193467.0,51135.0,1350.0,0.0,1620.0,2703.0,353.0,6.0,309.0,80.0,131.0,401.0,209.0,1871.0,1898.0,1163.0,883.0,495.0,3172.0,518.0,343.0,461.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
2023-01-05,218416.0,49232.0,1305.0,0.0,1506.0,2659.0,343.0,6.0,335.0,73.0,128.0,384.0,206.0,1875.0,1792.0,1186.0,832.0,438.0,2818.0,512.0,342.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,166673.0,46488.0,1296.0,0.0,1408.0,2590.0,322.0,6.0,334.0,68.0,132.0,388.0,201.0,1874.0,1836.0,1181.0,802.0,397.0,2506.0,506.0,338.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,209273.0,44818.0,1286.0,0.0,1322.0,2592.0,308.0,6.0,329.0,65.0,149.0,384.0,199.0,1844.0,1746.0,1200.0,782.0,370.0,2276.0,511.0,341.0,391.0,7.6,3.0,3.4,3.4,0.2,3.4,0.0,4.0,4.6
2023-01-08,199522.0,46365.0,1288.0,0.0,1255.0,2605.0,355.0,6.0,328.0,69.0,144.0,528.0,249.0,1892.0,2455.0,,832.0,408.0,5656.0,756.0,423.0,628.0,10.0,0.8,18.3,18.3,7.8,18.3,12.8,17.4,6.6
2023-01-09,170417.0,59924.0,1333.0,0.0,2508.0,2697.0,409.0,6.0,500.0,141.0,142.0,4139.0,301.0,2389.0,4678.0,3860.0,1194.0,596.0,10816.0,891.0,442.0,1664.0,,0.0,11.9,11.9,12.6,11.9,20.0,9.8,4.4
2023-01-10,192422.0,71823.0,1245.0,0.0,2887.0,2749.0,689.0,10.0,855.0,606.0,140.0,6179.0,371.0,3003.0,11688.0,3624.0,914.0,478.0,8541.0,917.0,426.0,2701.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0
2023-01-11,339287.0,65262.0,1227.0,0.0,2579.0,2777.0,741.0,34.0,753.0,502.0,153.0,3106.0,426.0,2397.0,8779.0,2987.0,946.0,490.0,8725.0,842.0,416.0,1194.0,0.3,0.0,6.8,6.8,3.2,6.8,10.8,6.4,1.6
2023-01-12,325808.0,60823.0,1192.0,0.0,2492.0,2735.0,668.0,17.0,692.0,391.0,168.0,3494.0,432.0,2381.0,6990.0,2915.0,884.0,445.0,8423.0,815.0,407.0,976.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
2023-01-13,271282.0,58670.0,1155.0,0.0,2328.0,2715.0,630.0,11.0,651.0,347.0,181.0,2273.0,451.0,2285.0,6249.0,,831.0,410.0,8882.0,878.0,417.0,825.0,0.0,0.0,1.4,1.4,0.4,1.4,2.2,1.4,1.6
2023-01-14,246550.0,55077.0,1133.0,0.0,2227.0,2688.0,610.0,11.0,664.0,330.0,194.0,1760.0,452.0,2208.0,5197.0,,796.0,379.0,7778.0,867.0,405.0,701.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2023-01-15,254286.0,53827.0,1114.0,0.0,2235.0,2746.0,611.0,10.0,608.0,333.0,210.0,1667.0,447.0,2179.0,4662.0,,808.0,374.0,7155.0,828.0,391.0,655.0,7.7,1.6,12.3,12.3,5.0,12.3,7.8,12.8,4.6
2023-01-16,228095.0,60811.0,1180.0,0.0,2605.0,2915.0,1142.0,11.0,1008.0,439.0,229.0,2654.0,485.0,2343.0,6220.0,4802.0,828.0,383.0,6835.0,918.0,441.0,3281.0,29.9,5.8,44.8,44.8,16.3,44.8,29.0,43.8,16.8
2023-01-17,289918.0,256500.0,1227.0,4.0,7809.0,4518.0,12056.0,235.0,3147.0,2752.0,274.0,28295.0,946.0,12832.0,27036.0,20379.0,833.0,383.0,5954.0,1578.0,610.0,14007.0,8.4,0.6,15.7,15.7,9.6,15.7,18.6,14.2,9.8
2023-01-18,1048848.0,261035.0,1176.0,4.0,5390.0,5107.0,13484.0,481.0,3582.0,3433.0,375.0,33363.0,1919.0,15434.0,61361.0,14279.0,724.0,357.0,4860.0,2254.0,862.0,20604.0,20.0,0.0,3.2,3.2,0.8,3.2,7.4,2.0,1.0
