name,watercourse_code,length,first_point,last_point,is_affluent,classe,river_join
Le Rhin,A---0000,187.90298449608088,"[7.584941647446357, 47.57558790792397]","[8.268766344174976, 48.985053377443116]",0,1,
La Moder,A3--0100,82.12313032594908,"[7.316732218555632, 48.895829759072555]","[8.10787478773645, 48.83924664781031]",1,2,Le Rhin
La Sauer,A3--0110,63.97030053245469,"[7.756718225653472, 49.04552844699193]","[8.159498961904628, 48.91603322416806]",1,2,Le Rhin
La Zinsel du Nord,A32-0200,43.14899394123428,"[7.384324462565083, 48.98249568561325]","[7.739899320614371, 48.82338426574595]",1,3,Le Rhin
Ruisseau le Falkensteinbach,A32-0210,27.153402936503934,"[7.491520712907656, 49.037473539794405]","[7.65607113627352, 48.8941745958765]",1,3,Le Rhin
La Zorn,A34-0200,96.69934199326589,"[7.222446193246313, 48.5650794101632]","[7.915887444683895, 48.752044020150144]",1,2,Le Rhin
La Zinsel du Sud,A34-0210,30.918447071952986,"[7.18880718318261, 48.79383087530757]","[7.420205285479657, 48.76507923442542]",1,3,Le Rhin
Ruisseau le Landgraben,A35-0200,41.1760389827573937,"[7.609039802672767, 48.695460286912656]","[7.972667770184295, 48.77296117549125]",1,3,Le Rhin
Ruisseau l'Eberbach,A36-0210,43.82079825782642,"[7.699515853343385, 48.93374260687578]","[8.044958080334979, 48.85476457075165]",1,3,Le Rhin
Ruisseau le Seltzbach,A37-0200,33.09463613571909,"[7.790522509476592, 48.964870307027866]","[8.111160583382174, 48.89161548365239]",1,3,Le Rhin
Ruisseau le Rothbach,A31-0200,22.815951600963487,"[7.397083590639046, 48.95114846455301]","[7.6101125175038, 48.84640824327356]",1,4,Le Rhin
Ruisseau le Mittelbach,A3110760,12.352859776302196,"[7.329381032082821, 48.87134599597314]","[7.479811439215708, 48.88066433643071]",1,4,Le Rhin
Ruisseau le Schwarzbach,A32-0220,23.7805019831679,"[7.554652666227788, 49.06796181794754]","[7.662700044205236, 48.92925116467325]",1,4,Le Rhin
Ruisseau le Lomdgraben,A3300310,11.346541293183193,"[7.608681360727206, 48.81812463574048]","[7.747754096476558, 48.82152261707226]",1,4,Le Rhin
